Start_Date,Assign_ID,Weight_Result,,Start_Date,Assign_ID,Weight_Result
2018-09-09 3:56,P7166056,136.175,,2018-09-21 21:56,220732569,403.836
2018-09-09 4:18,P7166057,136.096,,2018-09-21 22:16,220732530,394.089
2018-09-09 4:40,P7166058,136.495,,2018-09-21 22:38,220732531,395.628
2018-09-09 5:01,P7166059,138.279,,2018-09-21 22:59,220732532,400.389
2018-09-09 5:24,P7166060,137.671,,2018-09-21 23:21,220732533,399.676
2018-09-10 14:16,P7166061,138.929,,2018-09-21 23:43,220732534,401.499
2018-09-10 14:37,P7166062,138.673,,2018-09-22 0:05,220732535,401.314
2018-09-10 14:59,P7166063,139.911,,2018-09-22 0:26,220732536,401.644
2018-09-10 15:21,P7166064,137.401,,2018-09-22 0:48,220732537,397.298
2018-09-10 15:42,P7166065,138.576,,2018-09-22 1:09,220732538,398.405
2018-09-10 16:03,P7166066,135.426,,2018-09-22 1:31,220732539,393.963
2018-09-10 16:25,P7166067,137.729,,2018-09-22 1:52,220732540,394.504
2018-09-10 16:47,P7166068,136.97,,2018-09-22 2:13,220732541,394.868
2018-09-10 17:07,P7166069,137.465,,2018-09-22 2:36,220732542,391.672
2018-09-10 17:28,P7166070,137.05,,2018-09-22 2:57,220732543,399.085
2018-09-10 17:50,P7166071,138.834,,2018-09-22 3:18,220732544,390.768
2018-09-10 18:11,P7166072,137.205,,2018-09-22 3:39,220732545,389.866
2018-09-10 18:32,P7166073,137.838,,2018-09-22 4:01,220732546,396.68
2018-09-10 18:53,P7166074,136.378,,2018-09-22 4:22,220732547,401.678
2018-09-10 19:14,P7166075,136.599,,2018-09-22 4:44,220732548,405.296
2018-09-10 19:36,P7166076,138.948,,2018-09-22 5:05,220732549,393.139
2018-09-10 19:58,P7166077,137.476,,2018-09-22 5:27,220732550,398.264
2018-09-10 20:20,P7166078,137.847,,2018-09-22 5:49,220732551,397.194
2018-09-10 20:44,P7166079,137.57,,2018-09-22 6:10,220732552,401.84
2018-09-10 21:05,P7166080,137.476,,2018-09-22 6:30,220732553,399.75
2018-09-10 21:26,P7166081,137.067,,2018-09-22 6:51,220732554,402.114
2018-09-10 21:46,P7166082,136.137,,2018-09-22 7:12,220732555,398.455
2018-09-10 22:07,P7166083,135.121,,2018-09-22 7:33,P7187469,135.42
2018-09-10 22:29,P7166084,135.733,,2018-09-22 7:54,P7187470,137.3
2018-09-10 22:51,P7166085,136.566,,2018-09-22 8:15,P7187471,134.797
